"","FIPS","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19"
"2216",42011,1812127.65219294,1184169.34124369,295673.075401924,10577.2829158625,80053.113635216,10527.1263271532,3994.88117458265,0,22186.7924547388,169951.873852027,268810.55506559,75892.9965964813,0,0,0,0,6743.96832667593,1226.17605939563,242333.606585412
"2217",42013,406299.114977883,725195.190743941,19870.806599525,3878.54543798457,14015.8129172784,0,0,0,1619.58882577923,63684.6503118918,46268.357283923,7495.17580960976,0,0,0,0,1512.07248520899,274.922270037999,54333.8819237709
"2218",42015,506639.921898204,567350.755296647,20920.7423979957,12341.0449622953,701.492138001922,0,4531.56934074456,0,12268.4474526049,93889.6426017738,583427.061285941,10139.1985323418,0,0,0,0,1885.49828825596,342.817870591993,67752.3348673404
"2221",42021,315814.222879638,166579.312300483,50745.0919823005,29983.7143637797,5138.81962871852,0,1440.91375350864,0,3766.43846613124,38780.5045529066,43063.8828088322,14101.9013220616,0,0,0,0,1175.32620488222,213.69567361495,42233.4483714635
"2222",42023,4414.84716898781,0,302.272589690408,883.323576689518,109.595402556813,0,0,0,0,1069.70427464414,5502.63293702462,44.9429064057518,0,0,0,0,16.4301832924068,2.98730605316488,590.392092791872
"2223",42025,48803.5477449167,21280.6636218546,2604.53387861992,2883.66439270933,988.69846976012,0,0,0,1908.60262118357,9368.10651666064,22084.5167287643,1041.25617893747,0,0,0,0,181.626045948165,33.0229174451212,6526.4385347671
"2224",42027,598282.344056129,410656.375996984,107996.103829802,14325.9985412688,6267.44253519272,0,4166.12020036194,0,10852.681850161,102640.955845868,157190.339547239,21838.7043890055,0,0,0,0,2226.55240310542,404.827709655534,80007.563493689
"2225",42029,1168543.50456196,616137.185387723,239616.575349897,3202.22828468365,30804.8580867911,1462.65373328712,0,0,30303.2021071061,87420.7624339397,262198.147418577,35652.6162976513,0,0,0,0,4348.82187994429,790.694887262601,156267.888506513
"2227",42033,106533.814309942,41710.3473596709,7271.03553474182,13326.0685588378,2339.69579094771,0,760.262259604979,0,899.761894394047,37806.1499629104,78567.42540587,1016.57700401642,0,0,0,0,396.473542333944,72.0860986061719,14246.6362200184
"2228",42035,207653.849102396,178332.701133649,54560.3821504409,1372.58962964629,2002.53142233802,0,0,0,14129.1353636333,22934.5788354761,22861.3590257561,8454.4308961578,0,0,0,0,772.799300073703,140.508963649765,27769.2943504449
"2229",42037,697768.35595958,65645.6982284708,161024.088708623,13085.8834055681,5958.00461172492,0,0,0,6339.57248411062,25887.4393819172,93401.4140293784,27042.8564091789,0,0,0,0,2596.79702268963,472.144913216297,93311.7057488923
"2231",42041,1222104.98364225,1057952.99148648,311831.473628929,8180.48032032142,86619.4697647682,7443.30312475201,4326.91782213029,0,2173.27435346963,90013.0819853057,246615.060865827,62560.1709043876,0,0,0,0,4548.15492252013,826.937258640026,163430.599358516
"2232",42043,573152.769951708,210044.034855871,127596.710345038,6567.4651118266,18100.0560318674,876.234037795396,1553.80653373618,0,4188.54424607022,29948.7400123906,113904.50179641,24626.2290234191,0,0,0,0,2133.03081724033,387.823784952789,76647.0163946421
"2234",42047,19613.872234307,19285.7941110838,0,1525.50029779396,705.275097445495,0,0,0,271.22314798432,10366.2985278188,33778.7677352646,0,0,0,0,0,72.9944896274627,13.2717253868114,2622.93905834568
"2238",42055,1601085.87610144,2315272.68689252,374032.724295215,5190.06697060333,191663.240816302,28381.1925346599,59018.992031393,0,3787.54375512818,174600.170978614,362008.510398137,58195.3079495406,0,0,0,0,5958.5606034153,1083.37465516642,214111.248917312
"2239",42057,189325.318024425,261435.820026701,30223.422654688,12455.9683889849,21120.3694038201,4396.95283156389,8480.50833767911,0,6305.91810435873,29522.6461091201,195394.333938582,2095.16733415235,0,0,0,0,704.588303505801,128.106964273783,25318.2423872114
"2241",42061,335409.669791617,590829.783618934,39302.4703766879,8777.69745818118,7457.25114481487,5168.50030967809,8647.57080185403,0,2444.22063113318,81315.402938826,137084.921051287,6512.22713819345,0,0,0,0,1248.25212329725,226.954931508593,44853.9234340708
"2242",42063,722789.243985459,292419.504282861,42301.2039774774,42674.8189688785,7183.25403989623,1316.2804783191,0,0,13967.1380102513,61125.1072146235,131309.468498057,32664.5043757004,0,0,0,0,2689.91412520038,489.075295490979,96657.7183920652
"2243",42065,220915.416540119,42323.9161891042,23014.6576804536,24955.9346588991,5146.22426795299,644.966231283049,1143.70442254014,0,1353.56141232929,48413.8023799943,84722.0509850126,6377.63496058885,0,0,0,0,822.153213223169,149.482402404213,29542.7474856421
"2244",42067,375935.116708762,317156.502868509,82314.6417102211,7317.35249225518,7786.56273182132,770.731326948187,6254.40100254837,0,5478.81894096479,59486.284509737,83288.5919846113,14932.4777713217,0,0,0,0,1399.07059908337,254.376472560614,50273.3417063063
"2245",42069,47211.9730668475,48718.5983611886,4220.99106650325,0,0,0,0,0,0,9755.46461054292,63460.6171661562,133.312656260851,0,0,0,0,175.702881978205,31.945978541492,6313.59920668787
"2246",42071,4155533.84717962,3641453.92117576,646004.541401697,10989.6127835877,177620.537367068,3245.15393785558,2140.4878222411,0,50850.0565654603,320994.713367308,251521.189896233,96715.8336063084,0,0,0,0,15465.1294084582,2811.84171062876,555714.440567221
"2248",42075,949423.274173229,894117.780985979,162779.035548666,2606.69412587582,61985.793903122,16064.8334054995,2126.34547780414,0,19323.3181097473,45285.1408524836,110968.222876233,33154.6580207379,0,0,0,0,3533.34958598795,642.427197452357,126965.20906135
"2250",42079,171331.941227284,18505.7292173821,33808.0410073831,5819.9819871865,0,0,0,0,6026.41562845319,13825.7042739521,52219.5241662345,5472.03539651295,0,0,0,0,637.624608612114,115.931747020385,22912.0101945594
"2251",42081,495755.687504674,99435.1494935974,40219.742807121,14655.6220098702,2254.51778796728,1528.50024421908,1936.83175175835,0,3525.15367570665,35330.037839709,140104.433074713,17573.5043002934,0,0,0,0,1844.99179749011,335.453054089111,66296.7995620248
"2252",42083,8505.96842162741,10446.0864026142,0,1239.8747101219,0,0,0,0,0,9073.11842978106,74151.4468723754,115.271132845001,0,0,0,0,31.6555964221076,5.75556298583777,1137.49271615614
