"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19"
"...29",2.33594192719564,36.3372609633,6.62411396931579,22.6973668584204,0.9520547101,0.00037818751226298,1.45322951804529,7616.23455263288,0.0285219445094745,7.18884664344,2.11781947625021,1.57520492906379,0.398473393323457,0.484678439711934,4.08825411019622,0,0.748032736,12.676584349,0.1228268496
"...30",268.673569704958,4175.48520231675,705.451469938248,2558.6017688461,21.11926336195,0.0434980800483839,0.596775914551075,784549.905178366,3.28051504922769,725.32309344516,213.678695632482,181.005521537937,42.6367069960197,55.6940066270576,454.750318755786,0,60.812333956,1328.9277865435,14.127204
"...31",243.125228632,11173.70844306,32.84502668,301.8415663575,277.09022042,7.42176734006894,0.529859135802468,55.6225926833333,579.424485670105,2297.919893976,676.96248754535,484.375545895061,135.092292414815,149.038629506173,1620.02092691397,0,309.2779624,1418.8885854,16.85139911
"...32",1397.68856656,64235.8862748,188.8208744,1735.23952485,1592.9479436,42.6665690485954,3.04607654320987,319.765506333333,3331.01991662013,13210.37878608,3891.7504948214,2784.59856358024,776.624267259259,856.79955802469,9313.24461832328,0,1777.990192,8156.966532,96.8760338
"...33",0,21.86526,314.318736203205,289.538516270717,492.251084,0,927.597487065266,509320.824947221,0,565.4047392,166.567076477366,0.947849794238682,17.7923026172839,0.291646090534979,86.1564352,0,140.48672,719.00972,0
"...34",0,0.0524780895,0.754386033827116,0.694911845116494,1.1814355943,0,2.22629614036998,1222.40411665784,0,1.35700926984,0.399772147558847,0.00227490303497942,0.0427027187950616,0.000699970164609053,0.20678121904,0,0.337177544,1.725671519,0
"...35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"...36",1821.35329376,83706.9472008,246.0559024,2261.2220631,2075.7993256,55.5995791404092,3.96939753086419,416.692224666667,4340.71240322748,17214.68393568,5071.4105787391,3628.6608382716,1012.03315318519,1116.51102716049,12136.2577952,0,2316.931232,10629.490872,126.2409148
"...37",394.032498288,18109.20354804,53.23185912,489.193931655,449.07948228,12.0284412406502,0.85874148148148,90.1474078999999,939.071929895887,3724.233481584,1097.15154496988,785.026332037036,218.943767288889,241.546563703703,2625.56418641753,0,501.2460816,2299.5894636,27.31102374
"...38",115.661280592,5315.63686236,15.62527208,143.594238645,131.81935052,3.53073648357393,0.252068395061728,26.4611794333333,275.647979422176,1093.182962256,322.049458473745,230.430614876543,64.2670759703704,70.9017276543209,770.687995018082,0,147.1319344,675.0038724,8.01666866
"...39",0.231260510333559,17.97572381496,207.347551829504,192.643681277856,323.79192259219,3.74409295323166e-05,610.119457575247,335676.514076165,0.00282370009552643,372.514227231384,109.741927285488,0.779240041934156,11.7394272855605,0.239766166748971,57.0600499282023,0,92.4562266958,474.0660805309,0.01215997692
"...40",16.2598702401601,252.698544972,42.7238899450092,154.872377572702,1.3260940758,0.00263246264997151,0.12652269327334,47529.8578860042,0.198533667006809,43.95097337904,12.947866610456,10.9543752901235,2.58206725795555,3.37057701234568,27.5294561007244,0,3.693997164,80.495529114,0.85496502
"...41",0,10.76307165,154.721923210268,142.523976209586,242.30828661,0,456.605511008943,250710.786505354,0,278.317830168,81.9918619150616,0.46657461419753,8.75817748740738,0.143561419753086,42.410101008,0,69.1539288,353.9291613,0
"...42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"...43",26.3158632704094,158.652473537731,8.27930719355628e-05,391.10075254536,2424.308000968,0,0.000244333654434752,166545.28996648,0,807.33783373061,237.840069901695,6.87751777926247,14.5722456654846,2.11615931669614,-26.7929981915406,0,43.33897660488,50.17631539063,3.22938517164757
"...44",0,1.60545525,23.0788321387809,21.2593461511106,36.14350285,0,68.1087833163538,37396.8474349652,0,41.51480508,12.2301764263374,0.0695958076131686,1.30639862716049,0.0214140946502058,6.32603048,0,10.315228,52.7932405,0
"...45",0.102447383764667,0.617632417552979,0,1.52255089113803,9.4378054903002,0,0,648.358570493397,0,3.14295726393339,0.925908763494648,0.0267741046707302,0.0567295835419496,0.00823818605253237,-0.104304953429526,0,0.168718044,0.19533514,0.0125719631008919
"...46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"...47",0,23.532999,338.292913267498,311.62262025973,529.7967766,0,998.348555448662,548168.485724027,0,608.53011408,179.271723463374,1.02014557613169,19.1493830716049,0.313890946502058,92.72788448,0,151.202128,773.851078,0
"...48",9.95231656260524,60.0209198693335,0.29647503851124,148.182280850562,917.305951647959,0,0.874938299964443,63465.6146185784,0,305.857898874209,90.1051096689974,2.60188154854615,5.52781388861194,0.800578938014199,-10.0515059718578,0,16.522733568,19.654148943,1.22131138927748
