"","V1","V2","V3","V4","V5"
"292",7257.31691336197,6889.16382764105,4502.41323138056,5169.56342311195,2855.12599557817
"293",31.0064333964231,33.617285766334,20.6529687026077,20.9326524781044,18.1985712358472
"294",6.16828734909962,6.61445106639912,3.54384816065688,3.36714716002265,3.41061022329382
"295",4.43161625156239,8.65806695675219,4.71524638168681,2.10275557108565,3.32892737858283
"296",3.99900673963469,7.81287596823251,4.2549492079229,1.89748688136328,3.00396114352496
"297",4.30027694961308,8.40146882059152,4.57550116614126,2.04043644569228,3.23026834013633
"298",451.542948489005,400.094222976949,353.286026769271,374.382712654018,275.431327398755
"299",2398.23319772369,2534.95475580879,3087.59729531122,3989.58334364105,3737.33532325195
"300",634.134296599481,683.049454297928,1164.82287405288,820.76145841343,736.339904630359
"301",298.783091988657,262.641418730112,659.99515758757,594.678230648756,673.482801348307
"302",453.052927401205,402.023844334249,357.704821646988,377.052721100022,278.027529003526
"303",2286.63985998286,2416.99956175543,2943.92682652179,3803.94212996144,3563.43158304259
"304",0,0,0,0,0
"305",0.455315160237035,0.491310638306029,0.292298067270475,0.380957848577349,0.317099023418745
"306",102.189813711598,120.33166288066,78.3485234924984,88.7718733051483,77.7134826217655
"307",0.16094688996501,0.189519935515473,0.123397340023108,0.13981390518192,0.122397163494422
"308",102.125547236192,120.255987120306,78.2992506415629,88.716045280756,77.6646091436932
"309",0.115195388093703,0.135646128533113,0.0883198456135616,0.100069762589566,0.0876039838568711
"310",19.7708243622566,21.49532740275,14.7392498788398,12.4578442093431,5.53661824921564
"311",18.6473092512331,20.2713861145549,13.8927918317067,11.7461639774811,5.2104951310114
"312",7.79269124193878,10.1854133906037,12.068825199108,7.54844289551121,10.2917132394546
"313",7.63299640528023,9.99409973283637,11.885134415592,7.42057391768543,10.1632495050626
"314",7.71070024859372,10.1081248513333,12.0510153737944,7.51503560190269,10.3248702512997
"315",1.43438720748084,1.56210564266522,1.07885989125109,0.907836539132586,0.41401548766949
"316",19.7841463544821,21.5072354029871,14.7397687874278,12.4622713177165,5.52815405495723
"317",19.5726298396949,21.2987250173832,14.5918091716972,12.3392209553652,5.49203012379994
"318",19.786282186532,21.5095572541226,14.7413600448933,12.4636167039676,5.52875085647679
"319",23.7205436949128,26.8431038136823,18.8365602200901,15.5543566960029,7.04774800960012
"320",352.49729734257,347.566410944301,159.477611014179,273.909437533555,316.410352244237
"321",17.9308891253213,44.2914531892822,35.7306985707849,7.02600483726845,7.76579004590167
"322",282.904753896639,389.550327850037,307.747966021113,219.38816723159,88.7453151392471
"323",19.8629249654272,21.5718701231411,14.8045136790707,12.5277026249593,5.59952398380072
"324",19.6812247520562,21.4073839441621,14.6684953806607,12.4031604897118,5.51230026639321
"325",1166.67628519647,973.619635437912,954.115222313462,956.660477177311,1018.40160596111
"326",352.818860501144,347.883797183121,159.619986350307,274.161442187184,316.709646037685
"327",54.1004086545897,77.0968561451485,49.1258100606485,35.875130672301,41.1347761262653
"328",24.3843588076031,30.1625235589314,16.397916363972,20.2985992473918,20.1177612111974
"329",345.770572135865,341.00566082368,156.565403878941,268.689536391705,310.223854041483
"330",14.5308189479927,17.83328833063,13.0570204661751,11.5030343407407,5.46421386254851
"331",53.5376280405245,76.5890318554553,48.9200628052142,35.4255975646128,40.6148677420847
"332",20.3537849103149,22.0654368713605,14.987444899236,12.9099605278602,6.06068985273729
"333",352.741416769151,347.805263250973,159.582694254671,274.101827783115,316.640808015929
"334",34.350574168423,33.5986031340019,26.67091926956,24.4552339935449,18.3952700463409
"335",1164.64741200322,971.92857391491,952.459687871284,955.002403961324,1016.64560585022
"336",1151.03317060132,960.595651031229,941.337936774969,943.851205174141,1004.78874657677
"337",14.6354032385179,17.9292877042302,13.190569802548,11.5686160768296,5.6066026421939
"338",14.6040939931785,15.8318594537789,10.4549627178694,5.05131747728531,7.80568658483067
"339",13.2189548014022,36.2444162381194,30.4603207954265,3.75779292900996,3.76076803064531
